ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"95.213.154.54","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","44","N/A","31337","socks5","54","1","2022-10-13T16:10:59.357Z","100","183","183"
"110.93.231.73","elite","AS38193","PK","TRANSWORLD ASSOCIATES (PVT) LIMITED","153","TW RO","5678","socks4","57","1","2022-10-13T16:10:47.787Z","100","65","65"
"80.80.167.249","elite","AS21246","XK","IPKO-PPANP","35","N/A","10801","socks4","55","1","2022-10-13T16:10:41.098Z","99","183","184"
"103.106.216.174","anonymous","AS137329","ID","PT. ARTHA LINTAS DATA MANDIRI","206","N/A","3125","http","53","5000","2022-10-13T16:10:34.567Z","100","80","80"
"89.179.244.233","anonymous","AS8402","RU","CORBINA-BROADBAND","60","N/A","20000","http","103","183","2022-10-13T16:10:31.029Z","100","67","67"
"191.253.106.140","elite","AS28343","BR","Unifique Telecomunicações SA","232","Unifique Telecomunicações SA","8080","socks4","51","1","2022-10-13T16:10:30.274Z","100","147","147"
"78.109.139.51","elite","AS43314","RU","JSC \"ER-Telecom Holding\"","99","JSC local network","5678","socks4","58","1","2022-10-13T16:10:29.584Z","98","108","110"
"47.243.138.23","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","261","Alibaba.com LLC","8888","socks5","56","1","2022-10-13T16:10:29.425Z","72","133","184"
"202.162.219.10","elite","AS9341","ID","PT Indonesia Comnets Plus","173","N/A","1080","socks4","56","1","2022-10-13T16:10:29.357Z","99","168","170"
"131.0.246.113","elite","AS61714","BR","supercore tecnologia e informatica eirelli","180","supercore tecnologia e informatica eirelli","4153","socks4","80","1","2022-10-13T16:10:29.470Z","100","182","182"
"188.255.245.177","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","37","Orion Telekom Tim d.o.o.Beograd","1080","socks4","57","1","2022-10-13T16:10:28.575Z","100","183","183"
"175.100.64.127","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","214","Viettel (cambodia) Pte., Ltd.","9812","http","54","5312","2022-10-13T16:10:28.478Z","96","73","76"
"43.135.154.94","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","148","Tencent Cloud Computing","21127","socks5","55","1","2022-10-13T16:10:27.675Z","100","137","137"
"185.56.246.76","elite","AS41026","PL","KOPnet S.C. Marek Szczudlo Juliusz Kostrzewski","37","Kopnet","8291","socks4","56","1","2022-10-13T16:10:27.045Z","98","179","183"
"88.255.217.48","elite","AS9121","TR","TurkTelekom","75","N/A","1080","socks4","56","1","2022-10-13T16:10:27.648Z","99","143","145"
"47.242.80.133","elite","AS45102","HK","Alibaba.com LLC","243","Hong Kong","27832","socks4","55","1","2022-10-13T16:10:27.893Z","100","143","143"
"45.118.145.52","elite","AS131414","VN","LVSOFT","197","N/A","10308","socks5","57","1","2022-10-13T16:10:27.601Z","99","183","184"
"170.81.140.79","elite","AS28418","MX","Nueva RED Internet De Mexico S De RL De CV","140","Nueva RED Internet De Mexico S De RL De CV","61437","socks4","69","1","2022-10-13T16:10:27.219Z","100","165","165"
